R‚fD‚tailCommande;R‚fCommande;R‚fProduit;Quantit‚;PrixUnitaire;Remise;FORFAIT;PrixUnitaire?;PrixUnitaireht;TVA
292;304;52;1;6.000,00;0;TRUE;0,00;6.000,00;0
293;305;52;1;6.000,00;0;TRUE;0,00;6.000,00;0
294;307;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
295;308;52;1;6.000,00;0;TRUE;0,00;6.000,00;0
296;309;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
297;310;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
298;311;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
299;312;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
300;313;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
301;314;52;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
302;315;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
303;316;10;1;9.001,00;0;TRUE;0,00;9.001,00;0
304;317;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
305;318;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
306;319;30;1;29.241,00;0;TRUE;0,00;29.241,00;0,140000001
307;320;30;1;29.241,00;0;TRUE;0,00;29.241,00;0,140000001
308;321;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
309;322;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
310;323;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
311;324;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
312;325;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
313;326;61;1;0,00;0;TRUE;3.300,00;0,00;0,140000001
314;327;41;1;0,00;0;TRUE;2.600,00;0,00;0,140000001
315;328;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
316;329;30;1;0,00;0;TRUE;2.700,00;0,00;0
317;330;41;1;30.000,00;0;TRUE;2.700,00;30.000,00;0,140000001
318;331;30;1;30.000,00;0;TRUE;2.700,00;30.000,00;0,140000001
319;332;52;1;8.000,00;0;TRUE;0,00;8.000,00;0
320;333;52;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
321;334;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
322;335;52;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
323;336;52;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
324;337;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
325;338;41;1;30.000,00;0;TRUE;0,00;30.000,00;0,140000001
326;339;41;1;30.000,00;0;TRUE;0,00;30.000,00;0,140000001
327;340;41;1;30.000,00;0;TRUE;0,00;30.000,00;0,140000001
328;341;41;1;30.000,00;0;TRUE;0,00;30.000,00;0,140000001
329;342;62;1;8.600,00;0;TRUE;0,00;8.600,00;0,140000001
330;343;35;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
331;344;60;1;9.000,00;0;TRUE;0,00;9.000,00;0,140000001
332;345;41;1;27.950,00;0;TRUE;0,00;27.950,00;0
333;346;41;1;27.950,00;0;TRUE;0,00;27.950,00;0,140000001
334;347;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
335;348;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
