R‚fProduit;NomProduit;PrixUnitaire;international
1;MAROC -BERKANE-France -PERPIGNAN;0,00;TRUE
2;MURCIA-NADOR;0,00;TRUE
3;VALENCIA-NADOR;0,00;TRUE
4;CASTELLON-BERKANE;0,00;TRUE
5;NADOR-BARCELONA;0,00;TRUE
6;TARRAGONE-NADOR;0,00;TRUE
7;MAROC NADOR- -Espagne -EL EJIDO-;0,00;TRUE
8;Espagne -EL EJIDO- MAROC-NADOR;0,00;TRUE
9;NADOR-GENOVA;0,00;TRUE
10;ITALIA-Skhirat, Maroc;0,00;TRUE
11;BELGIQUE-NADOR;0,00;TRUE
12;Jorf El Melha-PERGNAN;0,00;TRUE
13;BERKANE-Paris;0,00;TRUE
14;BERKANE-Venlo Pays-Bas;0,00;TRUE
15;Belgique-CASABLANCA;0,00;TRUE
16;MURCIA-BENTAYEB;0,00;TRUE
17;MURCIA-MEKNES;0,00;TRUE
18;AVIGNON FR -NADOR;0,00;TRUE
19;NADOR-VALENCIA;0,00;TRUE
20;NADOR-ALBACETE;0,00;TRUE
21;CASTELLON-NADOR;0,00;TRUE
22;ALBACETE- BERKANE;0,00;TRUE
23;ALBACETE-NADOR;0,00;TRUE
24;Espagne- VALENCIA-MAROC-BERKANE;0,00;TRUE
25;ALBACETE-TAOURIRT;0,00;TRUE
27;VALENCIA  -  TAZA;0,00;TRUE
28;BARCELONA NADOR;0,00;TRUE
29;ALMERIA - NADOR;0,00;TRUE
30;MAROC -BERKANE-FR  PERPIGNAN;0,00;TRUE
31;BENI NSAR - MURCIA;0,00;TRUE
32;CASTELLON-TAOURIRT;0,00;TRUE
33;PERGNAN -BERKANE;0,00;TRUE
34;PERGNAN -BERKANE- VIDE;0,00;TRUE
35;CARTAGENA - NADOR;0,00;TRUE
36;MURCIA - ARUIT;0,00;TRUE
37;CHIVA- NADOR;0,00;TRUE
38;ALACANTE- FES;0,00;TRUE
39;ALMERIA - ARUIT;0,00;TRUE
40;MURCIA - BERKANE;0,00;TRUE
41;BERKANE-PERPIGNAN;0,00;TRUE
42;Espagne-CASTELLON -MAROC- OUJDA;0,00;TRUE
43;Espagne - BERKANE;0,00;TRUE
44;MAROC -SELOUANE - PAYS-BAS - VOLENDAM;0,00;TRUE
45;PAYS-BAS - VOLENDAM - MAROC -SELOUANE;0,00;TRUE
46;MAROC -AGADIR -France-  PERPIGNAN;0,00;TRUE
47;Espagne -ALMERIA - MAROC-ARUIT;0,00;TRUE
48;Espagne -MURCIA - MAROC - NADOR;0,00;TRUE
49;Espagne -MURCIA - MAROC - MEKNES;0,00;TRUE
50;Espagne -ALMERIA - MAROC- HOCEIMA;0,00;TRUE
51;Espagne -MURCIA - MAROC - BERKANE;0,00;TRUE
52;Espagne(MURCIA ) -MAROC( Nador);0,00;TRUE
53;France -PERPIGNAN -MAROC -BERKANE;0,00;TRUE
54;Espagne-CASTELLON -MAROC- NADOR;0,00;TRUE
55;Espagne- VALENCIA-MAROC- FES;0,00;TRUE
56;Espagne -MAROC - BERKANE;0,00;TRUE
57;*******;0,00;TRUE
58;-----;0,00;TRUE
59;trans;0,00;TRUE
60;Espagne fines a nador;0,00;TRUE
61;BERKANE-CHATEAUX RENARD  France;0,00;TRUE
62;NADOR-MAROC  ESPANA ELEJIDO;0,00;TRUE
63;BERKANE -MAROC  ESPANA  - BARCELONA;0,00;TRUE
64;Algesiras a selouane;0,00;TRUE
65;MURCIA-IMZOUREN;0,00;TRUE
66;[BERKANE -MAROC]    [BELGIQUE - BRUXLLES;0,00;TRUE
67;Espagne -Rute - MAROC - nador;0,00;TRUE
68;BARKANE  -  RETERDAM;0,00;TRUE
69;ROTTARDAM  A FES;0,00;TRUE
70;France  a  nador;0,00;TRUE
71;CASTELLON A TAOURIRT;0,00;TRUE
72;MAROC A MALAGA;0,00;TRUE
73;MALAGA  A MAROC;0,00;TRUE
74;BARKANE  A LYON;0,00;TRUE
75;BERKANE-Belgique;0,00;TRUE
76;MAROC- HOCEIMA - ESPAGNE -TARRAGONA -;0,00;TRUE
77;rottedam a casablanca;0,00;TRUE
78;MOTRIL - ALHOCEIMAS;0,00;TRUE
79;la rioja ou  nador;0,00;TRUE
80;NADOR -  VALENCIA - MOTRIL - OUJDA;0,00;TRUE
81;NADOR -CORDOBA;0,00;TRUE
82;NADOR - CORDOBA   CORDOBA - NADOR;0,00;TRUE
83;MURCIA  -  OUJDA;0,00;TRUE
84;MURCIA  -  OUJDA;0,00;TRUE
85;Espagne -SORIA  - MAROC - ALHOCEIMA;0,00;TRUE
86;Espagne -ALMERIA - MAROC- TAZA;0,00;TRUE
87;Espagne -MOTRIL - MAROC- TAZA;0,00;TRUE
88;MALAGA - NADOR;0,00;TRUE
89;MAROC - HOCEIMA - ESPAGNE - GRANADA;0,00;TRUE
90;ESPAGNE- VALENCIA-MAROC- AL HOCEIMA;0,00;TRUE
91;Pays-Bas  -  NADOR;0,00;TRUE
92;Espagne -CORDOBA - MAROC- NADOR;0,00;TRUE
93;ESPAGNE- MADRID-MAROC- NADOR;0,00;TRUE
94;BERKANE - TANGER -TANGER PERPIGNAN;0,00;TRUE
95;MAROC - BERKANE - HOLLAND - ROTTERDAM;0,00;TRUE
96;BERKANE-ALMERIA;0,00;TRUE
97;BERKANE- LAFQIH BEN SALAH -  BERKANE;0,00;FALSE
98;CCC;0,00;TRUE
99;MAROC - BERKANE - HOLLAND - DEN HAAG;0,00;TRUE
100;BERKANE -MERRAKECH - BERKAN;0,00;FALSE
101;ESPAGNE -BORGOS - MAROC- NADOR;0,00;TRUE
102;C;0,00;TRUE
103;BERKANE - VALENCIA;0,00;TRUE
104;AGADIR - ALMERIA;0,00;TRUE
105;HHH;0,00;FALSE
106;BERKANE - HOLLAND;0,00;TRUE
107;BERKANE - BARCELONA;0,00;TRUE
108;FINES - NADOR;0,00;TRUE
109;GERMANE - NADOR;0,00;TRUE
110;STATIONNMENT;0,00;TRUE
111;BERKANE - MARSEILLE;0,00;TRUE
112;HOLLAND - BERKANE;0,00;TRUE
113;VALLADOLID - NADOR;0,00;TRUE
114;SKHIRAT - MADRID;0,00;TRUE
115;Espagne-NADOR;0,00;TRUE
116;SKHIRAT-BARCELONA;0,00;TRUE
117;GIRONA-NADOR;0,00;TRUE
118;MADRID-NADOR;0,00;TRUE
119;ESPECE;0,00;TRUE
120;ALICANTE - NADOR;0,00;TRUE
121;TRANSITAIRE;0,00;FALSE
122;SEVILLA - NADOR;0,00;TRUE
123;AGADIR-CARTAGENA;0,00;TRUE
124;SARAGOZA-NADOR;0,00;TRUE
125;PHYTO TRANSBULL;1.000,00;TRUE
126;MALAGA-BERKANE;0,00;TRUE
127;NADOR - MURICA;0,00;TRUE
128;HUELVA - IMZOUREN;0,00;TRUE
129;MOTRIL - TAZA;0,00;TRUE
130;Espagne-maroc;0,00;TRUE
131;MOTRIL - OUJDA;0,00;TRUE
132;BEGIQUE - LEUZE EN HAINAUT - MAROC  - LAARAICH;0,00;TRUE
133;HUELVA-NADOR;0,00;TRUE
134;GRANADA - NADOR;0,00;TRUE
135;MADRID-TETOUANE;0,00;TRUE
136;TRANSET;0,00;FALSE
137;MALAGA - AL HOCEIMA;0,00;TRUE
138;BATEAU ARMAS;0,00;FALSE
139;STATIONNEMENT 30 JOURS;0,00;FALSE
140;HUELVA-AL HOCEIMA;0,00;TRUE
141;C REAL - NADOR;0,00;TRUE
142;FRANCE -NADOR;0,00;TRUE
143;BERKANE-BREDA;0,00;TRUE
144;HOLLAND-NADOR;0,00;TRUE
145;IMZOUREN-HOLLANDA;0,00;TRUE
146;IMZOUREN - barcelona;0,00;TRUE
147;ZARAGOZA-NADOR;0,00;TRUE
148;MASSALAVES-NADOR;0,00;TRUE
149;SKHIRAT - ALMERIA;0,00;TRUE
150;CORDOBA - NADOR;0,00;TRUE
151;C;0,00;TRUE
152;TVA;0,00;TRUE
153;NADOR - OUJDA;0,00;TRUE
154;MALAGA - CASABLANCA;0,00;TRUE
155;MLY BOUSSELHAM- EL EJIDO;0,00;TRUE
156;EL EJIDO - NADOR;0,00;TRUE
157;SKHIRAT - PERPIGNAN;0,00;TRUE
158;MLY BOUSSELHAM - CHATEAURENARD;0,00;TRUE
159;PALENCIA - NADOR;0,00;TRUE
160;VALENCIA - IMZOUREN;0,00;TRUE
161;NADOR - MOHAMMADIA;0,00;TRUE
162;ROTTERDAM - NADOR;0,00;TRUE
163;Allemagne - NADOR;0,00;TRUE
164;BERKANE - NIMES;0,00;TRUE
165;MLY BOUSSELHAM - LYON;0,00;TRUE
166;MOTRIL - NADOR;0,00;TRUE
167;VALENCIA - FES;0,00;TRUE
168;BADAJOZ - NADOR;0,00;TRUE
169;MULTA;0,00;TRUE
170;NADOR - ALICANTE;0,00;TRUE
171;SALAMANCA - NADOR;0,00;TRUE
172;LLL;0,00;TRUE
173;ZARAGOZA - CASABLANCA;0,00;TRUE
174;ALGECIRAS - CASABLANCA;0,00;TRUE
175;ALMERIA - CASABLANCA;0,00;TRUE
176;TOLEDO - NADOR;0,00;TRUE
177;RETARD DE 18 JOURS;0,00;TRUE
178;RETARD;0,00;TRUE
179;RETARD;0,00;TRUE
180;BERKANE - AVIGNON;0,00;TRUE
181;TANGER - PARIS;0,00;TRUE
182;TANGER - ROTTERDAM;0,00;TRUE
183;PERPIGNAN - BERKANE;0,00;TRUE
184;NADOR - TANGER;0,00;TRUE
185;BERKANE - NADOR;0,00;TRUE
186;BERKANE - NETHERLANDS;0,00;TRUE
187;BERECHID - MURCIA;0,00;TRUE
188;LA RIOJA - NADOR;0,00;TRUE
189;IMMOBILISATION;0,00;TRUE
190;BERKANE - AGADIR;0,00;TRUE
191;AGADIR - MURCIA;0,00;TRUE
192;AGADIR - ELEJIDO;0,00;TRUE
193;AIT MELLOUL - PERPIGNAN;0,00;TRUE
194;TAOURIRT-Italie;0,00;TRUE
195;TAOURIRT-Italie;0,00;TRUE
196;TAOURIRT-MILAN;;TRUE
197;TAORIRT;0,00;TRUE
198;MAIALS (Espagne)- NADOR;0,00;TRUE
199;TANGER - MALAGA;0,00;TRUE
200;MALAGA - TANGER;0,00;TRUE
201;TRANSBULL;0,00;TRUE
202;BARCELONA - TAOURIRT;0,00;TRUE
203;VERONA (ITALY) - MIDELT;0,00;TRUE
204;NADOR  -    FES;0,00;TRUE
205;BALSAPINTADA-MURCIA;0,00;TRUE
206;BALSPINTADA-NADOR;0,00;TRUE
207;NADOR-MARRUECOS;0,00;TRUE
208;AITMELLOUL- PERPIGNAN;0,00;TRUE
209;AIT MELLOUL-MALAGA;0,00;TRUE
210;AIT MELLOUL-MALAGA;0,00;TRUE
211;AITMELLOUL-MALAGA;0,00;TRUE
212;AITMELLOUL-MALAGA;0,00;TRUE
213;MEKNAS;0,00;TRUE
214;NADOR-MEKNES;0,00;TRUE
215;NOVELDA - OUJDA;0,00;TRUE
216;ALICANTE - OUJDA;0,00;TRUE
217;MURCIA - OUJDA;0,00;TRUE
218;AITMELLOUL-MADRID;0,00;TRUE
219;LARACHE - MALAGA;0,00;TRUE
220;STATIONNEMENT;0,00;TRUE
221;C REAL - FES;0,00;TRUE
222;CHICLANA (Espagne) - NADOR;0,00;TRUE
223;AIT MELLOUL - Portugal;0,00;TRUE
224;Transport DE marchandises  MEKNESS - NADOR;0,00;FALSE
225;BERECHID - PARIS;0,00;TRUE
226;AIT MELLOUL - BRUXELLES;0,00;TRUE
227;VITROLIES-NADOR;0,00;TRUE
228;VITROLLES-NADOR;0,00;TRUE
229;NADOR - TETOUAN;0,00;TRUE
230;ESTEPA (SEVILLA) - NADOR;0,00;TRUE
231;LARACHE - Portugal;0,00;TRUE
232;ALICANTE - TETOUAN;0,00;TRUE
233;MURCIA - FES;0,00;TRUE
234;CORDOBA - FES;0,00;TRUE
235;CORDOBA - OUJDA;0,00;TRUE
236;MONTAVERNER-NADOR;0,00;TRUE
237;POLONIA - NADOR;0,00;TRUE
238;MURCIA - TETOUAN;0,00;TRUE
239;LOS BARRIOS (CADIZ) - NADOR;0,00;TRUE
240;KKK;0,00;TRUE
241;ALCANTARILLA - NADOR;0,00;TRUE
242;AMSTERDAM - NADOR;0,00;TRUE
243;IMMOBILISATION - MATERIEL DE TRANSPORT 14305-B-50 SCANIA;0,00;TRUE
244;DORTMUND- NADOR;0,00;TRUE
245;UBEDA ( JAEN ) - NADOR;0,00;TRUE
246;MURCIA - FES;0,00;TRUE
