id_frigo;frigo;TBD
1;8339-08;FALSE
2;FRIGO 2;FALSE
3;FRIGO 3;FALSE
4;FRIGO 4;FALSE
5;8161-08;TRUE
6;8414-04;FALSE
7;8189-08;FALSE
8;R0537BBC;FALSE
9;8226-08;TRUE
10;R6598BBY;FALSE
11;ar-250-rn;FALSE
12;B0917BCJ;FALSE
13;R0355BBF;FALSE
14;574-04;FALSE
15;8252-08;TRUE
16;7040-05;TRUE
17;8260-08;FALSE
18;6594-08;FALSE
19;R0917BCJ;FALSE
20;694-06;FALSE
21;6028-08;FALSE
22;574-04;FALSE
23;mu-06975-r;FALSE
24;1222-08;FALSE
25;R1180BBS;FALSE
26;R6674BBK;FALSE
27;2631-06;FALSE
28;2635-06;FALSE
29;973-08;FALSE
30;R9622BCG;FALSE
31;R1853bcj;FALSE
32;R8030BBJ;FALSE
33;be776wcp;FALSE
34;R3212bcf;FALSE
35;R3812BCF;FALSE
36;R3210BCF;FALSE
37;R1125BCG;FALSE
38;R4340BCF;FALSE
39;r3205bc;FALSE
40;r3208bcf;FALSE
41;1564-08;FALSE
42;1035-08;FALSE
43;4247-08;FALSE
44;w21cou;FALSE
45;705-04;FALSE
46;176-07;FALSE
47;R-0539-BCR;FALSE
48;R-2390-BBC;FALSE
49;8288-08;FALSE
50;R5726BBV;FALSE
51;4510-06;FALSE
52;A-06057R;FALSE
53;R7500BCL;FALSE
54;R2390BBC;FALSE
55;7460-08;FALSE
56;r0539bcr;FALSE
57;r9061bbr;FALSE
58;8299-08;TRUE
59;2632-08;FALSE
60;4316-09;FALSE
61;mu05641r;FALSE
62;r2390bbc;FALSE
63;4267-09;FALSE
64;8320-08;FALSE
65;R0131BBS;FALSE
66;AD951BF;FALSE
67;AB013BG;FALSE
68;FM169QV;FALSE
69;2599-06;FALSE
70;8123-08;TRUE
71;7339-09;FALSE
72;R5242BCD;FALSE
73;5798-09;FALSE
74;2002-011;FALSE
75;2606-06;FALSE
76;6342-08;FALSE
77;5798-09;FALSE
78;4247-09;FALSE
79;R1451BBF;FALSE
80;GI03733R;FALSE
81;5650-05;FALSE
82;4570-06;FALSE
83;CY958FE;FALSE
84;ALO-3151-R;FALSE
85;R9310BBY;FALSE
86;R1832BBW;FALSE
87;788-08;TRUE
88;2127-06;TRUE
89;R0962BBY;FALSE
90;R0763BBP;TRUE
91;R5474BG;FALSE
92;R5474BCG;FALSE
93;R3210BCF;FALSE
94;8288-08;TRUE
95;R6451BBP;TRUE
96;8148-08;FALSE
97;7338-09;FALSE
98;R4051BBY;FALSE
99;1144-08;FALSE
100;5572-09;FALSE
101;R5301BCG;FALSE
102;3632-07;FALSE
103;R3851BCK;FALSE
104;8482-08;FALSE
105;6786-011;FALSE
