id_vehicule;vehicules;Frigo;Immatriculation;Dated'Acquisition;Marque;PoidsdeTare;PuissanceFiscale;Susp;TRN;pro
1;12795-B-50;87;;20/09/2018;DAF;8280;34;FALSE;;TRUE
10;7099-B-50;58;;23/09/2016;VOLVO;8791;34;FALSE;;TRUE
11;10897 b 50;6;;;;;;FALSE;;FALSE
12;43285a13;7;;;;;;FALSE;;FALSE
13;14305-B-50;99;;11/02/2019;SCANIA;8250;34;FALSE;;TRUE
16;4606B40;0;;;;;;FALSE;;FALSE
17;16258-B-50;100;;09/10/2019;DAF;8600;34;FALSE;;TRUE
18;17360-B-50;15;;28/02/2020;DAF;8700;34;FALSE;;TRUE
19;17785-B-50;9;;21/07/2020;VOLVO;9050;34;FALSE;;TRUE
22;K-3764-A;0;;;;;;FALSE;;FALSE
23;18573-B-50;16;;01/12/2020;VOLVO;9300;34;FALSE;;TRUE
24;5698-B-40;;;;;;;FALSE;;FALSE
25;20653-A-51;;;;;;;FALSE;;FALSE
26;42002-A-49;0;;;;;;FALSE;;FALSE
27;52757-A-14;;;;;;;FALSE;;FALSE
28;65423-A-72;0;;;;;;FALSE;;FALSE
29;9199-A-46;0;;;;;;FALSE;;FALSE
30;72110-A-40;0;;;;;;FALSE;;FALSE
31;5025-A-76;0;;;;;;FALSE;;FALSE
32;14716-A-34;0;;;;;;FALSE;;FALSE
33;3689-A-22;;;;;;;FALSE;;FALSE
34;19927-B-50;88;;29/06/2021;IVECO;7400;34;FALSE;;TRUE
39;20640-B-50;0;;;;0;;FALSE;;FALSE
40;661-B-50;;;;;0;;FALSE;;FALSE
45;20716-B-50;102;;01/11/2021;VOLVO;34;7920;FALSE;;FALSE
48;24134-A-5;41;;;;0;;FALSE;;FALSE
49;24134-A-5;41;;;SCANIA;18000;34;FALSE;;FALSE
52;62534-A-50;70;;;;0;;FALSE;;FALSE
53;23418-B-50;95;;;VOLVO;0;34;FALSE;;FALSE
55;21938-B-7;87;;;;0;;FALSE;;FALSE
56;60681-A-34;49;;19/05/2016;RENAULT;6980;29;FALSE;;FALSE
57;682-D-40;0;;;SCANIA;0;34;FALSE;;FALSE
58;27884-B-50;0;;;;0;;FALSE;;FALSE
60;22092-B-50;0;;;;0;;FALSE;;FALSE
61;1792-D-40;0;;;;0;;FALSE;;FALSE
